Crop,Climate,Soil_Type,Temperature (Â°C),Humidity (%),Water_Requirement (mm),Life_Span (days)
Wheat,Temperate,Loamy,20,60,25,120
Rice,Tropical,Clayey,30,80,35,210
Tomato,Temperate,Sandy,25,70,30,120
Maize,Tropical,Loamy,28,75,40,150
Potato,Cold,Clayey,15,50,20,120
Barley,Temperate,Loamy,18,55,22,90
Cotton,Tropical,Sandy,32,75,45,150
Soybean,Temperate,Clayey,26,65,38,100
Sunflower,Tropical,Sandy,30,70,28,90
Sugarbeet,Cold,Loamy,14,45,18,130
Pepper,Temperate,Clayey,28,60,32,80
Carrot,Cold,Sandy,16,50,22,90
Lettuce,Temperate,Loamy,22,65,30,50
Banana,Tropical,Sandy,28,75,42,180
Coffee,Tropical,Loamy,25,80,40,25
Tea,Temperate,Sandy,20,70,35,50
Grapes,Temperate,Loamy,22,60,28,30
Pineapple,Tropical,Clayey,30,75,38,50
Oats,Temperate,Sandy,18,55,25,90
Cabbage,Cold,Loamy,15,50,20,80
Onion,Temperate,Clayey,20,65,26,120
Broccoli,Cold,Sandy,18,55,24,60
Cucumber,Tropical,Loamy,28,70,34,50
Spinach,Temperate,Clayey,20,60,28,40
Strawberry,Cold,Sandy,15,50,22,60
Blueberry,Temperate,Loamy,25,65,32,40
Mango,Tropical,Clayey,30,75,40,40
Peach,Temperate,Sandy,22,60,28,50
Avocado,Tropical,Loamy,28,80,45,80
Almond,Temperate,Clayey,25,70,35,60
Ginger,Tropical,Loamy,26,75,40,300
Garlic,Cold,Sandy,15,55,24,180
Artichoke,Temperate,Clayey,20,60,28,180
Asparagus,Cold,Loamy,18,50,22,10
Pomegranate,Tropical,Sandy,30,70,38,150
Kiwi,Temperate,Loamy,22,65,32,40
Chickpea,Tropical,Clayey,28,75,36,90
Quinoa,Temperate,Sandy,25,60,30,90
Peanut,Tropical,Loamy,32,70,42,150
Raspberry,Temperate,Clayey,20,65,28,25
Blackberry,Cold,Sandy,15,55,26,25
Eggplant,Tropical,Loamy,28,75,34,90
Papaya,Temperate,Clayey,25,70,38,30
Zucchini,Tropical,Sandy,30,80,36,50
Turnip,Cold,Loamy,18,50,22,60
Radish,Temperate,Clayey,20,55,26,60
Cauliflower,Cold,Sandy,15,45,20,60
Apricot,Temperate,Loamy,22,60,28,150
Nectarine,Tropical,Clayey,28,75,40,130
Hazelnut,Temperate,Sandy,25,70,35,60
Coriander,Temperate,Loamy,22,65,26,30
Sugarcane,Tropical,Clayey,30,75,100,365
Barley,Temperate,Loamy,18,55,22,90
Sesame,Tropical,Sandy,28,70,40,150
Jute,Tropical,Clayey,32,80,50,120
Chickpea,Temperate,Sandy,25,65,30,100
Lentils,Temperate,Clayey,20,60,28,80
Mustard,Tropical,Loamy,22,75,36,90
Safflower,Temperate,Sandy,18,50,25,80
Turmeric,Tropical,Clayey,30,75,42,240
Cardamom,Temperate,Sandy,25,70,35,10
Clove,Tropical,Loamy,28,80,38,30
Nutmeg,Temperate,Clayey,20,60,28,30
Cumin,Tropical,Sandy,22,65,32,120
Fennel,Cold,Loamy,18,55,24,90
Basil,Temperate,Clayey,20,60,28,60
Mint,Cold,Sandy,15,50,22,180
